fylke,fylkeIntercepts,mainIntercept,x,year,mu,y
1,0.216754862863576,3,0.938319087261334,1966,416.427394985496,392
1,0.216754862863576,3,0.242171092424542,1981,51.5869193889728,51
1,0.216754862863576,3,0.565594530198723,1972,136.120218313112,135
1,0.216754862863576,3,0.180899103172123,1950,42.9249040883329,39
1,0.216754862863576,3,0.904499290045351,1951,376.249592497595,367
1,0.216754862863576,3,0.0842913051601499,1998,32.1248148040414,25
1,0.216754862863576,3,0.901171715464443,2010,372.512282062868,348
1,0.216754862863576,3,0.891611465718597,1965,361.980107992638,372
1,0.216754862863576,3,0.723374933004379,1989,218.520462902157,214
1,0.216754862863576,3,0.564809889299795,1977,135.800178663808,138
1,0.216754862863576,3,0.388609998160973,1976,80.0446702806309,78
1,0.216754862863576,3,0.7459288504906,1963,233.817621070534,221
1,0.216754862863576,3,0.895420984365046,1960,366.140747671768,383
1,0.216754862863576,3,0.80907674995251,1961,282.586617079107,303
1,0.216754862863576,3,0.818546326132491,1964,290.729662708763,308
1,0.216754862863576,3,0.421199968550354,2013,88.2659811127117,78
1,0.216754862863576,3,0.176696498412639,1967,42.3871121836898,41
1,0.216754862863576,3,0.173786558909342,2017,42.0186908526167,38
1,0.216754862863576,3,0.892545744543895,1996,362.996102210566,363
1,0.216754862863576,3,0.743334062164649,1950,232.004565269279,227
1,0.216754862863576,3,0.560983883915469,1969,134.25037337944,140
1,0.216754862863576,3,0.0712338301818818,1984,30.8907366265109,35
1,0.216754862863576,3,0.853584753349423,1963,322.953749611222,327
1,0.216754862863576,3,0.913710964843631,2003,386.792261685177,402
1,0.216754862863576,3,0.225361202843487,2012,49.0499158980918,43
1,0.216754862863576,3,0.628560133045539,1981,164.421830379042,175
1,0.216754862863576,3,0.0691449935548008,1957,30.6977647816745,21
1,0.216754862863576,3,0.514853976666927,2012,116.899757361014,123
1,0.216754862863576,3,0.805417287861928,1983,279.501239264998,274
1,0.216754862863576,3,0.971789465518668,1970,460.412699191219,484
1,0.216754862863576,3,0.342915244866163,2007,69.7906884421748,70
1,0.216754862863576,3,0.63136344240047,1967,165.810437001404,170
1,0.216754862863576,3,0.410054257372394,1950,85.3634168573771,94
1,0.216754862863576,3,0.345694060437381,2012,70.3749266492923,83
1,0.216754862863576,3,0.824872852535918,1986,296.300286193882,272
1,0.216754862863576,3,0.689900528639555,1969,197.641829128063,192
1,0.216754862863576,3,0.320645014755428,1959,65.280273946398,59
1,0.216754862863576,3,0.441329659428448,2011,93.7605171178495,97
1,0.216754862863576,3,0.261885447893292,2014,54.7299562919621,52
1,0.216754862863576,3,0.133204466663301,1959,37.2022135244203,33
1,0.216754862863576,3,0.91047868761234,1969,383.059728343935,406
1,0.216754862863576,3,0.709167925873771,2012,209.402584440895,203
1,0.216754862863576,3,0.572026313049719,2008,138.772208629525,155
1,0.216754862863576,3,0.916968236677349,1988,390.590451686066,375
1,0.216754862863576,3,0.901910115499049,1993,373.338385963676,361
1,0.216754862863576,3,0.0586219872348011,1970,29.743803499557,22
1,0.216754862863576,3,0.0457009491510689,2006,28.6129012942166,30
1,0.216754862863576,3,0.988808509195223,1986,484.53050465314,477
1,0.216754862863576,3,0.205824960023165,1983,46.2577835574631,51
1,0.216754862863576,3,0.929055972024798,2015,405.014463549988,401
1,0.216754862863576,3,0.194303552154452,1977,44.6862353112701,47
1,0.216754862863576,3,0.12680093664676,2001,36.4943579819672,32
1,0.216754862863576,3,0.539368811063469,2018,125.821130109255,121
1,0.216754862863576,3,0.272337059257552,1975,56.4731916024394,62
1,0.216754862863576,3,0.353586649522185,1987,72.0611317911879,67
1,0.216754862863576,3,0.0841048567090184,2013,32.1068509626161,28
1,0.216754862863576,3,0.7654377091676,2014,247.910548697954,239
1,0.216754862863576,3,0.444485993124545,2003,94.6525522320845,99
1,0.216754862863576,3,0.0361374919302762,1997,27.8036508789349,24
1,0.216754862863576,3,0.701289142947644,1975,204.511107969405,192
1,0.216754862863576,3,0.253427358111367,1994,53.3586945950668,44
1,0.216754862863576,3,0.629631243413314,1970,164.951021939167,135
1,0.216754862863576,3,0.26640361500904,2003,55.476843968167,63
1,0.216754862863576,3,0.532445900142193,1991,123.234933653723,141
1,0.216754862863576,3,0.468264800496399,1950,101.651395082475,102
1,0.216754862863576,3,0.574396894779056,2016,139.762638885875,136
1,0.216754862863576,3,0.668445498216897,2006,185.32135227864,173
1,0.216754862863576,3,0.212113675428554,1962,47.1387739819121,44
1,0.216754862863576,3,0.975632399087772,1957,465.751420840166,491
1,0.216754862863576,3,0.809382772771642,1988,282.846170064204,281
1,0.216754862863576,3,0.275334256468341,2005,56.9832652298229,49
1,0.216754862863576,3,0.399123691488057,1960,82.6096033699651,69
1,0.216754862863576,3,0.290300444234163,1995,59.6000370410992,63
1,0.216754862863576,3,0.492993233725429,1972,109.479198594814,107
1,0.216754862863576,3,0.756775138666853,2005,241.550914960215,236
1,0.216754862863576,3,0.510697468882427,1987,115.451123762329,124
1,0.216754862863576,3,0.438148951623589,1964,92.8700976943159,81
1,0.216754862863576,3,0.790914088021964,1975,267.601016527466,274
1,0.216754862863576,3,0.911315168021247,1997,384.022201348174,385
1,0.216754862863576,3,0.0710741439834237,2015,30.8759416977144,33
1,0.216754862863576,3,0.142642312915996,1993,38.2705932727956,41
1,0.216754862863576,3,0.393072782550007,2000,81.1235426421634,78
1,0.216754862863576,3,0.856437721289694,2018,325.729742474457,326
1,0.216754862863576,3,0.264254226116464,1985,55.1202708883226,51
1,0.216754862863576,3,0.0946383585687727,1956,33.137644710279,40
1,0.216754862863576,3,0.724333662772551,1999,219.149873838978,224
1,0.216754862863576,3,0.980476663913578,2004,472.569513487175,475
1,0.216754862863576,3,0.200600294396281,2015,45.5383918022788,40
1,0.216754862863576,3,0.552263837540522,1996,130.783904279654,128
1,0.216754862863576,3,0.345464471029118,1971,70.3264713251537,61
1,0.216754862863576,3,0.408390007447451,1974,84.9382808590467,80
1,0.216754862863576,3,0.188031216384843,1954,43.8532359512103,39
1,0.216754862863576,3,0.345552658895031,2009,70.3450796108527,62
1,0.216754862863576,3,0.183656022651121,1956,43.2813978055145,38
1,0.216754862863576,3,0.813114545540884,2009,286.030514586335,282
1,0.216754862863576,3,0.881635409081355,1986,351.307212556677,361
1,0.216754862863576,3,0.700614618835971,1967,204.097683387463,194
1,0.216754862863576,3,0.276427360251546,1966,57.1704378291078,67
1,0.216754862863576,3,0.432004463626072,1984,91.1738618738682,80
1,0.216754862863576,3,0.0128159222658724,1965,25.9248671488601,21
2,-0.542492572263425,3,0.563038276741281,2012,63.2200980652297,78
2,-0.542492572263425,3,0.670700266724452,2014,87.3225057905986,72
2,-0.542492572263425,3,0.313602324109525,1964,29.9136351061087,39
2,-0.542492572263425,3,0.947543668560684,1981,200.36454520397,189
2,-0.542492572263425,3,0.168803035514429,1960,19.3737011249482,13
2,-0.542492572263425,3,0.440414110431448,1952,43.7612953553081,47
2,-0.542492572263425,3,0.571626756573096,1976,64.8701576492699,67
2,-0.542492572263425,3,0.974653967190534,1987,217.341386997338,231
